number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_factor,params_kernel_size,params_l1_lambda,params_lr,params_num_channels,params_patience,params_seq_len,params_wd,state
55,inf,2026-02-12 10:49:28.074986,2026-02-12 10:49:28.136293,0 days 00:00:00.061307,32,0.35978154820906016,0.44945616603541044,3,1.7840620429532764e-05,0.009188474400123943,[256],10,12,5.2139125451220826e-05,COMPLETE
56,inf,2026-02-12 10:49:28.106262,2026-02-12 10:49:28.131051,0 days 00:00:00.024789,32,0.3485820102392591,0.47572345077194034,4,0.00023470454967560285,0.003174893547160274,[128],10,12,3.875763163146963e-05,COMPLETE
57,inf,2026-02-12 10:49:28.651748,2026-02-12 10:49:28.674665,0 days 00:00:00.022917,16,0.299812249464125,0.2503847550817745,4,0.0007769080315531437,0.0005895066327142119,"[256, 256]",5,18,5.308802290890894e-05,COMPLETE
58,inf,2026-02-12 10:49:28.888085,2026-02-12 10:49:28.919705,0 days 00:00:00.031620,16,0.3953972666369366,0.480345881583464,2,0.0003549723503800922,0.015931141066112566,"[128, 128, 128]",5,18,4.8145636569033605e-06,COMPLETE
59,inf,2026-02-12 10:49:29.158312,2026-02-12 10:49:29.219030,0 days 00:00:00.060718,32,0.30337351821291925,0.21606446878142632,4,0.002343346595503248,0.0008407332359770807,"[256, 256, 256]",5,12,3.315811280978397e-05,COMPLETE
60,inf,2026-02-12 10:49:29.189033,2026-02-12 10:49:29.220034,0 days 00:00:00.031001,64,0.3711750541343821,0.274259751806107,2,0.004015047872168666,0.0012434708786832353,"[128, 128]",5,12,7.52621547727932e-05,COMPLETE
61,inf,2026-02-12 10:49:29.447688,2026-02-12 10:49:29.474965,0 days 00:00:00.027277,16,0.14851776195180127,0.28754355477030574,5,0.0011037659286382425,0.015749503187462946,"[64, 64, 64]",10,18,1.8294820733177416e-06,COMPLETE
62,inf,2026-02-12 10:49:29.725018,2026-02-12 10:49:29.759139,0 days 00:00:00.034121,16,0.2752603751641843,0.4247497534988879,5,5.457705471792554e-05,0.005211943225272668,"[64, 64]",5,24,2.8479055605120676e-05,COMPLETE
63,inf,2026-02-12 10:49:29.974655,2026-02-12 10:49:30.020173,0 days 00:00:00.045518,64,0.28427830423383293,0.4626910507914369,3,1.9974534652750033e-05,0.009788242785626573,"[64, 64, 64]",5,24,1.2325326285591046e-05,COMPLETE
64,inf,2026-02-12 10:49:30.236482,2026-02-12 10:49:30.267755,0 days 00:00:00.031273,16,0.1715558749931455,0.4826940365463672,2,9.730153891574305e-05,0.039413651830898434,[256],10,18,1.080178927568324e-05,COMPLETE
